t_sec,cond_microS_cm,C_mgL
0,717,0
60,717,0
120,717,0
180,716,0
240,716,0
300,716,0
360,715,0
420,715,0
480,714,0
540,713,0
600,713,0
660,713,0
720,712,0
780,711,0
840,710,0
900,709,0
960,709,0
1020,708,0
1080,707,0
1140,708,0
1200,718,0.60952381
1260,748,18.8952381
1320,765,29.25714286
1380,816,60.34285714
1440,884,101.7904762
1500,981,160.9142857
1560,1007,176.7619048
1620,1052,204.1904762
1680,1119,245.0285714
1740,1154,266.3619048
1800,1106,237.1047619
1860,1227,310.8571429
1920,1280,343.1619048
1980,1317,365.7142857
2040,1323,369.3714286
2100,1372,399.2380952
2160,1371,398.6285714
2220,1376,401.6761905
2280,1371,398.6285714
2340,1362,393.1428571
2400,1352,387.047619
2460,1342,380.952381
2520,1328,372.4190476
2580,1310,361.447619
2640,1297,353.5238095
2700,1279,342.552381
2760,1284,345.6
2820,1243,320.6095238
2880,1233,314.5142857
2940,1205,297.447619
3000,1188,287.0857143
3060,1177,280.3809524
3120,1158,268.8
3180,1151,264.5333333
3240,1119,245.0285714
3300,1109,238.9333333
3360,1091,227.9619048
3420,1080,221.2571429
3480,1073,216.9904762
3540,1049,202.3619048
3600,1036,194.4380952
3660,1020,184.6857143
3720,1008,177.3714286
3780,994,168.8380952
3840,986,163.9619048
3900,974,156.647619
3960,970,154.2095238
4020,956,145.6761905
4080,951,142.6285714
4140,940,135.9238095
4200,928,128.6095238
4260,921,124.3428571
4320,907,115.8095238
4380,901,112.152381
4440,897,109.7142857
4500,889,104.8380952
4560,883,101.1809524
4620,875,96.3047619
4680,868,92.03809524
4740,862,88.38095238
4800,859,86.55238095
4860,854,83.5047619
4920,847,79.23809524
4980,844,77.40952381
5040,841,75.58095238
5100,837,73.14285714
5160,833,70.7047619
5220,832,70.0952381
5280,821,63.39047619
5340,817,60.95238095
5400,815,59.73333333
5460,807,54.85714286
5520,807,54.85714286
5580,801,51.2
5640,796,48.15238095
5700,793,46.32380952
5760,791,45.1047619
5820,788,43.27619048
5880,784,40.83809524
5940,780,38.4
6000,778,37.18095238
6060,774,34.74285714
6120,772,33.52380952
6180,769,31.6952381
6240,771,32.91428571
6300,765,29.25714286
6360,763,28.03809524
6420,759,25.6
6480,759,25.6
6540,756,23.77142857
6600,754,22.55238095
6660,753,21.94285714
6720,751,20.72380952
6780,749,19.5047619
6840,746,17.67619048
6900,746,17.67619048
6960,743,15.84761905
7020,741,14.62857143
7080,741,14.62857143
7140,740,14.01904762
7200,739,13.40952381
7260,738,12.8
7320,737,12.19047619
7380,736,11.58095238
7440,736,11.58095238
7500,734,10.36190476
7560,734,10.36190476
7620,732,9.142857143
7680,732,9.142857143
7740,732,9.142857143
7800,730,7.923809524
7860,731,8.533333333
7920,729,7.314285714
7980,730,7.923809524
8040,728,6.704761905
8100,727,6.095238095
8160,726,5.485714286
8220,726,5.485714286
8280,726,5.485714286
8340,726,5.485714286
8400,725,4.876190476
8460,725,4.876190476
8520,725,4.876190476
8580,725,4.876190476
8640,725,4.876190476
8700,724,4.266666667
8760,724,4.266666667
8820,723,3.657142857
8880,724,4.266666667
8940,725,4.876190476
9000,724,4.266666667
9060,723,3.657142857
9120,723,3.657142857
9180,723,3.657142857
9240,723,3.657142857
9300,722,3.047619048
9360,722,3.047619048
9420,722,3.047619048
9480,721,2.438095238
9540,722,3.047619048
9600,721,2.438095238
9660,721,2.438095238
9720,721,2.438095238
9780,721,2.438095238
9840,721,2.438095238
9900,720,1.828571429
9960,720,1.828571429
10020,720,1.828571429
10080,719,1.219047619
10140,718,0.60952381
10200,717,0
10260,716,0
10320,716,0
10380,715,0
10440,714,0
10500,713,0
10560,714,0
10620,713,0
10680,714,0
10740,713,0
10800,713,0
10860,713,0
10920,713,0
10980,713,0
11040,713,0
11100,713,0
11160,713,0
11220,713,0
11280,713,0
11340,713,0
11400,713,0
11460,713,0
11520,713,0
11580,713,0
11640,713,0
11700,713,0
11760,713,0
11820,713,0
11880,713,0
11940,713,0
12000,713,0
12060,713,0
12120,713,0
12180,713,0
12240,713,0
12300,713,0
12360,713,0
12420,713,0
12480,713,0
12540,713,0
12600,713,0
12660,713,0
12720,713,0
12780,713,0
12840,713,0
12900,713,0
12960,713,0
13020,713,0
13080,713,0
13140,713,0
13200,713,0
13260,713,0
13320,713,0
13380,713,0
13440,713,0
13500,713,0
13560,713,0
13620,713,0
13680,713,0
13740,713,0
13800,713,0
13860,713,0
13920,713,0
13980,713,0
14040,713,0
14100,713,0
14160,713,0
14220,713,0
14280,713,0
14340,713,0
14400,713,0
